0,2019-02-09 11:40:11.025474,0:00:54.266298
1,2019-02-09 11:40:51.074849,0:00:40.003889
0,2019-02-09 14:33:23.823833,0:00:47.506225
1,2019-02-09 14:34:02.021023,0:00:38.156679
0,2019-02-09 18:47:56.304320,0:00:46.847811
1,2019-02-09 18:48:34.734819,0:00:38.405093
0,2019-02-10 14:03:04.597759,0:01:04.326459
1,2019-02-10 14:04:05.792776,0:01:01.143389
0,2019-02-10 14:12:28.224709,0:01:25.551036
1,2019-02-10 14:13:22.367163,0:00:54.092978
0,2019-02-10 14:16:22.376116,0:00:58.167263
1,2019-02-10 14:17:16.368045,0:00:53.948745
0,2019-02-10 16:21:24.202051,0:00:48.465434
1,2019-02-10 16:22:03.857888,0:00:39.623279
0,2019-02-10 17:20:02.571337,0:00:53.967963
1,2019-02-10 17:20:42.922703,0:00:40.315833
0,2019-02-10 18:24:01.938982,0:00:50.964919
1,2019-02-10 18:24:45.779385,0:00:43.808024
0,2019-02-10 18:53:14.187746,0:00:52.785806
1,2019-02-10 18:53:58.583400,0:00:44.370050
